,playerId,name,Rk,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
19,1628963.0,Marvin Bagley III,233.0,2.0,2022-23,23.0,DET,42.0,25.0,990.0,202.0,382.0,183.0,316.0,19.0,66.0,81.0,108.0,94.0,175.0,269.0,36.0,19.0,30.0,46.0,81.0,504.0,0.529,0.579,0.288,0.75,0.587,0.554,F-C
20,1631116.0,Patrick Baldwin Jr.,436.0,0.1,2022-23,20.0,GSW,31.0,0.0,226.0,43.0,109.0,11.0,25.0,32.0,84.0,4.0,6.0,1.0,39.0,40.0,11.0,6.0,4.0,11.0,14.0,122.0,0.394,0.44,0.381,0.667,0.546,0.541,G-F
21,1630163.0,LaMelo Ball,250.0,1.8,2022-23,21.0,CHO,36.0,36.0,1268.0,296.0,721.0,152.0,338.0,144.0,383.0,102.0,122.0,42.0,189.0,231.0,304.0,46.0,11.0,129.0,118.0,838.0,0.411,0.45,0.376,0.836,0.541,0.51,G
22,1628366.0,Lonzo Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1628964.0,Mo Bamba,213.0,2.2,2022-23,24.0,"LAL,ORL",49.0,7.0,769.0,117.0,241.0,69.0,117.0,48.0,124.0,41.0,62.0,58.0,167.0,225.0,46.0,13.0,43.0,30.0,105.0,323.0,0.485,0.59,0.387,0.661,0.602,0.585,C
24,1631094.0,Paolo Banchero,203.0,2.4,2022-23,20.0,ORL,72.0,72.0,2430.0,479.0,1122.0,394.0,837.0,85.0,285.0,394.0,534.0,84.0,413.0,497.0,269.0,60.0,39.0,200.0,160.0,1437.0,0.427,0.471,0.298,0.738,0.529,0.465,F
25,1630217.0,Desmond Bane,63.0,5.8,2022-23,24.0,MEM,58.0,58.0,1841.0,450.0,939.0,284.0,532.0,166.0,407.0,181.0,205.0,43.0,248.0,291.0,254.0,56.0,22.0,126.0,150.0,1247.0,0.479,0.534,0.408,0.883,0.606,0.568,G
26,1630625.0,Dalano Banton,391.0,0.4,2022-23,23.0,TOR,31.0,2.0,279.0,55.0,130.0,40.0,79.0,15.0,51.0,17.0,24.0,11.0,34.0,45.0,36.0,13.0,13.0,18.0,34.0,142.0,0.423,0.506,0.294,0.708,0.505,0.481,G-F
27,1631230.0,Dominick Barlow,346.0,0.7,2022-23,19.0,SAS,28.0,0.0,408.0,46.0,86.0,46.0,82.0,0.0,4.0,18.0,25.0,46.0,56.0,102.0,24.0,10.0,19.0,15.0,56.0,110.0,0.535,0.561,0.0,0.72,0.567,0.535,F
28,203084.0,Harrison Barnes,49.0,6.5,2022-23,30.0,SAC,82.0,82.0,2662.0,374.0,791.0,242.0,438.0,132.0,353.0,350.0,413.0,87.0,279.0,366.0,128.0,57.0,10.0,86.0,103.0,1230.0,0.473,0.553,0.374,0.847,0.632,0.556,F
